#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
194,St. Barth,190,,1 ,,172,,17,,"19,207",101,"8,518","861,100","9,892",North America,52,"9,892",1
195,Brunei ,172,,3 ,,149,,20,,391,7,"83,775","190,567","439,609",Asia,"2,556","146,536",5
196,Antigua and Barbuda,160,+1,5 ,,148,,7,1,"1,627",51,"6,651","67,631","98,342",North America,615,"19,668",15
197,Grenada,127,,1 ,,107,,19,,"1,126",9,"6,781","60,121","112,789",North America,888,"112,789",17
198,St. Vincent Grenadines,124,, ,,100,,24,,"1,116",,"15,551","139,948","111,120",North America,896,,7
199,Dominica,88,, ,,83,,5,,"1,221",,"6,618","91,818","72,077",North America,819,,11
200,British Virgin Islands,86,,1 ,,74,,11,,"2,835",33,"10,483","345,586","30,334",North America,353,"30,334",3
201,Fiji,49,,2 ,,44,,3,,54,2,"19,883","22,098","899,753",Australia/Oceania,"18,362","449,877",45
202,Timor-Leste,49,+3, ,,37,+5,12,,37,,"16,885","12,685","1,331,120",Asia,"27,166",,79
203,Macao,46,, ,,46,,0,,70,,"4,238","6,482","653,822",Asia,"14,214",,154
204,Laos,41,, ,,40,,1,,6,,"93,204","12,717","7,329,037",Asia,"178,757",,79
205,New Caledonia,40,, ,,38,,2,,139,,"19,069","66,467","286,893",Australia/Oceania,"7,172",,15
206,Saint Kitts and Nevis,33,, ,,31,,2,,618,,"5,593","104,755","53,391",North America,"1,618",,10
207,Falkland Islands,29,, ,,17,,12,,"8,213",,"5,467","1,548,287","3,531",South America,122,,1
208,Greenland,27,, ,,21,,6,,475,,"15,677","275,906","56,820",North America,"2,104",,4
209,Vatican City,27,, ,,15,,12,,"33,666",,,,802,Europe,30,,
210,Solomon Islands,17,, ,,10,,7,,24,,"4,500","6,472","695,349",Australia/Oceania,"40,903",,155
211,Saint Pierre Miquelon,16,, ,,14,,2,,"2,769",,"3,196","553,037","5,779",North America,361,,2
212,Anguilla,15,, ,,13,,2,,995,,"5,337","354,124","15,071",North America,"1,005",,3
213,Montserrat,13,,1 ,,12,,0,,"2,603",200,626,"125,350","4,994",North America,384,"4,994",8
214,Western Sahara,10,,1 ,,8,,1,,17,2,,,"604,719",Africa,"60,472","604,719",
215,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,
216,Marshall Islands,4,, ,,4,,0,,67,,,,"59,393",Australia/Oceania,"14,848",,
217,Wallis and Futuna,4,, ,,1,,3,,359,,"1,149","103,170","11,137",Australia/Oceania,"2,784",,10
218,Samoa,2,, ,,2,,0,,10,,,,"199,086",Australia/Oceania,"99,543",,
219,Vanuatu,1,, ,,1,,0,,3,,,,"310,755",Australia/Oceania,"310,755",,
220,China,"87,150",+33,"4,634 ",,"82,105",+17,411,10,61,3,"160,000,000","111,163","1,439,323,776 ",Asia,"16,515","310,601",9
,Total:,"85,778,051","+283,095","1,855,641","+5,096","60,652,889","+206,305","23,269,521","107,394","11,004.5",238.1,,,,All,"
",,
